Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad]
0.0,0.5734839021170399,0.6097300519669746,-6.111891,-1.13986,-0.099866,0.526628,-0.02118829711921116,0.34040901730897405,3.41976329958582
1.0025062656641603,0.5734837286313121,0.6097300186311859,-6.58656,-1.060675,-0.288946,0.439063,0.06462954220135002,0.3446327140988003,3.5781694523099947
2.0050125313283207,0.5734835708535478,0.6097299551012011,-6.999248,-0.958091,-0.421653,0.4085,-0.05005604294719737,0.35473818792114,3.743277442469026
3.007518796992481,0.5734834317508064,0.609729866613008,-7.409154,-0.82556,-0.529422,0.429158,-0.018727382873899155,0.32930872326629007,3.9014391094715823
4.010025062656641,0.573483313766549,0.6097297578789956,-7.835239,-0.702043,-0.653715,0.40326,-0.07785913793146705,0.2097013096271187,3.9767501190550147
5.012531328320802,0.5734832071269317,0.6097296275029005,-8.175602,-0.679313,-0.744877,0.253539,-0.10573204608581648,0.09707521299592461,3.9148782319784012
6.015037593984962,0.5734831032798413,0.60972949084362,-8.368189,-0.719222,-0.695153,0.136613,-0.000890117918517108,0.07044148861049113,3.7695098458462555
7.017543859649122,0.5734829907061045,0.6097293665761773,-8.47162,-0.789528,-0.576377,0.079769,0.06270968002415626,0.06042329870404369,3.6159905975743722
8.020050125313283,0.5734828622498714,0.6097292711066673,-8.538614,-0.888788,-0.425847,0.065811,-0.01567305668290908,0.04300491276914028,3.4684754390089814
9.022556390977442,0.5734827170384778,0.6097292065294849,-8.614151,-1.032624,-0.289299,0.086906,-0.07531095722355532,0.03340560188317147,3.357943859653228
10.025062656641603,0.5734825416328879,0.609729159580128,-8.711001,-1.169316,-0.253527,0.098983,0.019774580425095754,0.050160762702317035,3.375362263041424
11.027568922305765,0.5734823540099933,0.6097291087910468,-8.80182,-1.202333,-0.354016,0.076557,0.08724900930719653,0.06640977803838424,3.5158959475192044
12.030075187969924,0.5734821594057817,0.6097290332182901,-8.867803,-1.229193,-0.562395,0.076129,0.03427826650916863,0.08646361114379908,3.6637951308799113
13.032581453634084,0.5734819599146482,0.6097289197718888,-8.96297,-1.281389,-0.730324,0.118225,0.05789257128865191,0.09414305985257414,3.726365044937568
14.035087719298245,0.5734817506496709,0.6097287710698365,-9.103214,-1.371467,-0.853801,0.164144,0.0341037335839692,0.08920377806943018,3.7312170602581127
15.037593984962406,0.5734815265493949,0.6097285977586419,-9.275985,-1.478646,-0.947773,0.172444,0.023719024534602937,0.06995279641993273,3.7184589128655436
16.040100250626566,0.5734812860430241,0.6097284096121484,-9.431458,-1.574626,-1.023871,0.130731,0.02768092193663007,0.04944517770899936,3.7117567961780082
17.042606516290725,0.5734810315740191,0.6097282106446137,-9.533189,-1.644406,-1.079527,0.074851,0.021537362969610025,0.03700098014227979,3.7120185955658074
18.045112781954884,0.5734807662839728,0.6097280059174924,-9.594903,-1.709965,-1.105843,0.056149,0.02129301687433082,0.033876840781209935,3.7124199340273036
19.047619047619047,0.573480490696484,0.6097277973506469,-9.655323,-1.778898,-1.127202,0.071841,0.009407324668249437,0.03452261260444784,3.711669442448946
20.050125313283207,0.5734802044624866,0.6097275840714123,-9.738612,-1.842659,-1.169741,0.090711,0.01541125729510993,0.03155555287605748,3.710168494198816
21.052631578947366,0.5734799095018429,0.6097273620655314,-9.823184,-1.892008,-1.22365,0.073387,0.011763519158441782,0.023719024534602937,3.710011362206259
22.05513784461153,0.573479608258014,0.6097271287150104,-9.883005,-1.929875,-1.272012,0.044327,0.00874409955249159,0.017994344588061536,3.711826574441503
23.05764411027569,0.5734793017781975,0.6097268880341065,-9.913194,-1.957867,-1.296763,0.018614,0.006387905062299246,0.01583013631558857,3.71348465468419
24.06015037593985,0.5734789912841235,0.609726646655071,-9.932266,-1.988593,-1.287402,0.025218,0.006021385919380436,0.018779742751458987,3.7115125897090695
25.062656641604008,0.5734786753795289,0.6097264073704305,-9.974678,-2.028331,-1.289765,0.054991,0.003351032163829113,0.018622663118779494,3.7099066948110164
26.065162907268167,0.5734783537153477,0.6097261647696645,-10.030821,-2.062031,-1.325649,0.047735,0.009546951008408983,0.01096066770252439,3.7089466415493724
27.06766917293233,0.5734780282114423,0.609725916234779,-10.059255,-2.078476,-1.357164,0.014326,0.0027576202181510408,0.0048520153205442364,3.7093831309420033
28.07017543859649,0.5734777000895428,0.6097256626384387,-10.059829,-2.094964,-1.365241,-0.006223,0.0026354471705114374,0.003979350694547071,3.709243574415014
29.07268170426065,0.5734773690005838,0.6097254086930325,-10.053238,-2.113537,-1.356245,0.004618,-0.00012217304763960306,0.004747295565424576,3.7096100237447627
30.075187969924812,0.5734770356426967,0.6097251550966922,-10.071733,-2.134174,-1.371596,0.027844,0.004223696789826277,0.004782202150464463,3.709976752327192
31.07769423558897,0.5734766998413486,0.609724899056891,-10.096665,-2.14522,-1.394413,0.013292,0.003682644721708035,-0.0008552113334772215,3.709365555476436
32.08020050125313,0.5734763631673359,0.6097246393518982,-10.094581,-2.151195,-1.39771,-0.014773,-0.00010471975511965978,-0.003787364476827695,3.7092960390123286
33.08270676691729,0.5734760254461256,0.6097243805195701,-10.072702,-2.154801,-1.38696,-0.016685,-0.0021642082724729686,-0.0024609142453120045,3.7087548822244556
34.08521303258145,0.5734756872013165,0.609724122036308,-10.065295,-2.161566,-1.403173,0.006158,0.0017976891295541594,0.000296705972839036,3.710255847927878
35.08771929824561,0.5734753484329087,0.6097238605859859,-10.060824,-2.169015,-1.419803,-0.018692,0.005166174585903215,-0.0034557519189487725,3.7109538574556282
36.09022556390977,0.5734750065229084,0.6097235991356641,-10.033229,-2.176872,-1.400126,-0.027207,-0.0050789081233034985,-0.0008726646259971648,3.7094355955393183
37.092731829573935,0.5734746644383749,0.6097233394306714,-10.024377,-2.185882,-1.395391,0.010251,-0.0014835298641951802,0.004136430327226561,3.7089817924805075
38.095238095238095,0.5734743216557099,0.6097230786784811,-10.038789,-2.192397,-1.421496,0.00922,0.0004014257279586958,0.0002617993877991494,3.709627337410942
