Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad]
0.0,0.5733548859824691,0.60897516442783,-34.696613,-1.957435,0.330125,-0.5533,-0.2776469948605505,-0.3284185878944805,2.95096784504685
1.0025062656641603,0.5733545985267413,0.6089752290050123,-34.143768,-1.726225,0.577043,-0.511894,-0.053581608036225914,-0.27663468644110123,2.747619516443698
2.0050125313283207,0.5733543543551789,0.6089753380880907,-33.636391,-1.461029,0.856127,-0.567698,0.042638393626221474,-0.31702160533225004,2.525002683085359
3.007518796992481,0.5733541543404466,0.6089755180315364,-33.08667,-1.097709,1.137405,-0.522402,-0.06981317007977318,-0.2963045645643699,2.255035119480291
4.010025062656641,0.5733540094781188,0.6089757536509854,-32.588127,-0.743507,1.357531,-0.500995,0.02633701841259443,-0.30471703410569,2.018263840421203
5.012531328320802,0.5733539243060511,0.608975997473482,-32.095142,-0.378788,1.461159,-0.492914,-0.056775560567375545,-0.30962140930379406,1.7766753304535625
6.015037593984962,0.5733539044092978,0.6089762739336355,-31.627916,-0.025702,1.536186,-0.460851,0.016249015336067207,-0.3081378619863064,1.5513708296734923
7.017543859649122,0.5733539257023147,0.6089765467285976,-31.176598,0.294352,1.52012,-0.454044,-0.010576695267085637,-0.3214722123781281,1.3340598146945082
8.020050125313283,0.5733540028458675,0.608976816381967,-30.732691,0.606082,1.456808,-0.443183,0.011082840750163993,-0.32148964821735554,1.114986191703935
9.022556390977442,0.5733541201319933,0.6089770713745707,-30.301252,0.891983,1.346948,-0.43237,0.03230604445441504,-0.33316591836649007,0.9032078879070655
10.025062656641603,0.5733542777352247,0.6089772980928406,-29.863136,1.132634,1.18117,-0.449063,0.020298179200694055,-0.3360456941789882,0.68870690538367
11.027568922305765,0.5733544718158375,0.6089774946169144,-29.425703,1.34423,0.987804,-0.436091,0.043353978619539144,-0.33723253552363686,0.4770333737017976
12.030075187969924,0.5733546913782575,0.6089776532673433,-28.985897,1.491609,0.761055,-0.448165,0.025865779514555962,-0.3427477410533539,0.267314610782159
13.032581453634084,0.5733549306628979,0.6089777672373435,-28.545311,1.594918,0.517542,-0.43813,0.0404741853537485,-0.33751178820395594,0.059934606513485277
14.035087719298245,0.5733551875753639,0.6089778339089209,-28.102665,1.724697,0.237581,-0.455493,0.0049741883681838385,-0.3337069355280233,6.17398024786852
15.037593984962406,0.5733554629883197,0.6089778531075427,-27.637705,1.844406,0.02754,-0.47906,0.016441001553786583,-0.33166491775648244,6.101671169691931
16.040100250626566,0.5733557621377535,0.6089778342579868,-27.139206,1.958482,-0.092413,-0.523517,0.061924281860758816,-0.3265685388873665,6.095684393651617
17.042606516290725,0.573356085547264,0.6089777801527799,-26.598347,2.072583,-0.1468,-0.562726,0.03902556207459321,-0.320390055882014,6.113696400971709
18.045112781954884,0.5733564267591327,0.6089777244767768,-26.019449,2.17397,-0.153195,-0.598224,0.029897490086662867,-0.317475373484476,6.135146567291891
19.047619047619047,0.5733567838534978,0.6089776759566237,-25.411806,2.265641,-0.144605,-0.622809,0.031276300195738384,-0.3152413694952158,6.147799785489828
20.050125313283207,0.5733571545614308,0.6089776316252605,-24.787458,2.350201,-0.142761,-0.636136,0.02155481626212997,-0.3141418295197519,6.152407594341433
21.052631578947366,0.573357536788537,0.6089775930534841,-24.151867,2.427382,-0.154862,-0.647185,0.014398966328953218,-0.3141243413206469,6.15216363221859
22.05513784461153,0.573357928614954,0.6089775539581089,-23.500498,2.493924,-0.17731,-0.668833,0.008133234314293577,-0.3160442209511332,6.14881232080208
23.05764411027569,0.5733583296916162,0.6089775113720752,-22.822145,2.549886,-0.195362,-0.698082,0.008185594191853406,-0.31707396520980985,6.1467526228452165
24.06015037593985,0.5733587396694575,0.6089774651208499,-22.115744,2.596423,-0.199883,-0.722508,0.00815068760681352,-0.31534610670362795,6.147136665093826
25.062656641604008,0.5733591540106219,0.6089774176478943,-21.392675,2.635472,-0.193086,-0.731217,0.008045967851693859,-0.3125884690321844,6.148428296006764
26.065162907268167,0.573359573762307,0.6089773724438666,-20.66815,2.672792,-0.193177,-0.726588,0.005288347633542819,-0.31063366536336573,6.148515649735827
27.06766917293233,0.5733599970046506,0.6089773254945099,-19.949408,2.687665,-0.209912,-0.720254,-0.008482300164692442,-0.31176818173703963,6.145583496592476
28.07017543859649,0.5733604193743296,0.6089772752290273,-19.234533,2.689358,-0.241121,-0.72057,-0.012007865253720986,-0.3147177707196175,6.138531982441983
29.07268170426065,0.5733608420930744,0.6089772183312937,-18.514189,2.686056,-0.267787,-0.727087,-0.010716321607245184,-0.3153984665811878,6.134518074228247
30.075187969924812,0.5733612625428911,0.6089771565466382,-17.790686,2.681199,-0.268217,-0.726184,-0.005009094953223725,-0.31531118266529556,6.1381309057798745
31.07769423558897,0.5733616800256482,0.6089770965073119,-17.067869,2.674787,-0.261339,-0.725588,0.002670353755551324,-0.3160442209511332,6.141621791176666
32.08020050125313,0.5733620971593395,0.6089770371661174,-16.34218,2.669902,-0.2546,-0.734595,-0.004153883619746504,-0.3189239967636313,6.142564548225423
33.08270676691729,0.5733625134203661,0.6089769818391801,-15.602503,2.666076,-0.240208,-0.75186,-0.0036477381366681488,-0.3194301597000022,6.14568790218833
34.08521303258145,0.5733629275869977,0.6089769317482305,-14.849924,2.658545,-0.214498,-0.758311,0.002234021442552742,-0.3160791449894656,6.147852511886531
35.08771929824561,0.573363339833767,0.6089768837516761,-14.099375,2.647161,-0.202862,-0.74845,-0.0026005405854715507,-0.31281536183494363,6.145129693533665
36.09022556390977,0.5733637508588058,0.6089768394203131,-13.361867,2.639927,-0.206968,-0.735778,-0.0052010811709431014,-0.31103510854461697,6.141464659184109
37.092731829573935,0.5733641608366471,0.6089767950889501,-12.624654,2.632647,-0.205894,-0.750681,-0.0025656340004316645,-0.3120823410023986,6.139178068424487
38.095238095238095,0.5733645706399554,0.608976751281186,-11.860985,2.626284,-0.185979,-0.780685,0.002408554367752175,-0.31182054161459943,6.136577754731818
39.097744360902254,0.5733649783488687,0.6089767107895473,-11.08065,2.625883,-0.154923,-0.778391,-0.003543018381548489,-0.30731757469116155,6.1355481850060665
